assigner,application,assignments
sld_system_app,SLDSystem,sld_system_app:ac_customer_segment_std:ac_giftcard_std:ac_payment_std:ac_email_marketing_std:bc_tendering:bc_productbinding:bc_urlrewrite:app_bo_transport:ac_organization_hierarchies:ac_inventory_service
as_backoffice_b2b,SLDSystem,bc_contract:ac_order_approval
app_bo_gdpr,SLDSystem,bc_gdpr
ac_oidc_sld_system,SLDSystem,ac_oidc_sld_system
as_cloudinary,SLDSystem,ac_cloudinary
ac_productprice_service,SLDSystem,ac_productprice_service
bc_approval_demo,SLDSystem,bc_approval_demo
as_backoffice_b2b,EnterpriseBackoffice,app_bo_ch_sales_b2b:ac_order_export_xml_b2b:bc_order_approval_orm:bc_b2b_role_orm:bc_contract:bc_contract_orm:ac_order_approval:bc_costobject_orm:app_bo_rest_b2b_customer
ac_oidc_enterprise,EnterpriseBackoffice,ac_oidc_enterprise
app_bo_contactcenter_cobrowsing,EnterpriseBackoffice,app_bo_contactcenter_cobrowsing
as_backoffice,EnterpriseBackoffice,sld_enterprise_app:ac_customer_segment_std:ac_ruleengine_drools:ac_order_status_import_xml:ac_order_submission_service:ac_order_history_service:ac_order_export_xml:ac_pdf_flyingsaucer:bc_urlrewrite:sld_ch_consumer_plugin:sld_ch_partner_plugin:sld_ch_consumer_orderimport_es64:app_bo_catalog:bc_dashboard_orm:app_bo_dashboard:app_bo_rest_job:app_bo_rest_customer:app_bo_gdpr:ac_search_solr:ac_search_solr_bo:ac_email_marketing_std:bc_store_orm:bc_rma:ac_organization_hierarchies:ac_inventory_service
dev_bostyleguide,EnterpriseBackoffice,dev_bostyleguide
dev_organizationinfo,EnterpriseBackoffice,dev_organizationinfo
as_cloudinary,EnterpriseBackoffice,ac_cloudinary
ac_productprice_service,EnterpriseBackoffice,ac_productprice_service
bc_approval_demo,EnterpriseBackoffice,bc_approval_demo
smc,SMC,smc:ac_swagger
ac_oidc_smc,SMC,ac_oidc_smc
as_cloudinary,SMC,ac_cloudinary

